surveyid,transectid,surveydate,ocean,country,"folder_name","lat_start","lng_start","lat_end","lng_end","pr_hard_coral","pr_algae","pr_soft_coral","pr_oth_invert","pr_other"
37003,37003,20150330,IND,MDV,"IND_MDV_37003_201503",4.398291,73.346794,4.387479,73.347614,0.2268,0.7182,0.0038,0.0049,0.0463
37004,37004,20150331,IND,MDV,"IND_MDV_37004_201503",4.193044,72.820119,4.192798,72.807416,0.1787,0.6989,0.0011,0.013,0.1081
37005,37005,20150331,IND,MDV,"IND_MDV_37005_201503",4.180929,72.749912,4.182373,72.748331,0.2547,0.6428,0.0084,0.0022,0.0919
37006,37006,20150401,IND,MDV,"IND_MDV_37006_201504",4.190755,72.737197,4.204753,72.733525,0.1541,0.7937,0.0196,0.0014,0.0311
37007,37007,20150401,IND,MDV,"IND_MDV_37007_201504",4.151143,72.731518,4.137651,72.727987,0.1564,0.7741,0.0198,0.0011,0.0486
37008,37008,20150402,IND,MDV,"IND_MDV_37008_201504",4.008074,72.812392,4.008204,72.805318,0.1382,0.7227,0.0033,0.0045,0.1313
37009,37009,20150402,IND,MDV,"IND_MDV_37009_201504",4.000914,72.880143,4.003662,72.882456,0.1265,0.7867,0.0025,0.0323,0.0522
37010,37010,20150403,IND,MDV,"IND_MDV_37010_201504",3.713646,72.981326,3.698171,72.97821,0.2263,0.7281,0.0047,0.0093,0.0318
37011,37011,20150403,IND,MDV,"IND_MDV_37011_201504",3.606231,72.959851,3.587546,72.953691,0.1456,0.8272,0.0045,0.0007,0.0221
37012,37012,20150404,IND,MDV,"IND_MDV_37012_201504",3.466849,72.83471,3.466444,72.82218,0.1219,0.8548,0.0041,0.0016,0.0174
37013,37013,20150404,IND,MDV,"IND_MDV_37013_201504",3.466709,72.815446,3.468721,72.808046,0.0666,0.9107,0.0015,0.0002,0.0211
37014,37014,20150405,IND,MDV,"IND_MDV_37014_201504",2.861896,73.028884,2.871221,73.028722,0.2218,0.7251,0.0034,0.0058,0.0439
37015,37015,20150405,IND,MDV,"IND_MDV_37015_201504",2.661224,72.892172,2.66034,72.876353,0.0532,0.9218,0.0017,0.0014,0.022
37016,37016,20150406,IND,MDV,"IND_MDV_37016_201504",2.208968,73.156144,2.199865,73.140939,0.0804,0.8951,0.0007,0.0006,0.0231
37017,37017,20150406,IND,MDV,"IND_MDV_37017_201504",2.287026,73.272004,2.27911,73.25744,0.1953,0.79,0.0021,0.0013,0.0112
37018,37018,20150407,IND,MDV,"IND_MDV_37018_201504",2.503896,73.318528,2.514639,73.306108,0.1727,0.7805,0.0015,0.0005,0.0445
37019,37019,20150407,IND,MDV,"IND_MDV_37019_201504",2.511768,73.257279,2.516797,73.240284,0.1892,0.7512,0.0029,0.0003,0.0561
37020,37020,20150408,IND,MDV,"IND_MDV_37020_201504",2.78191,73.36894,2.772175,73.372521,0.2214,0.7063,0.0041,0.0147,0.0534
37021,37021,20150408,IND,MDV,"IND_MDV_37021_201504",2.810893,73.366562,2.79996,73.369192,0.2171,0.7035,0.0031,0.0079,0.0683
37022,37022,20150409,IND,MDV,"IND_MDV_37022_201504",2.921864,73.587738,2.909515,73.586848,0.2147,0.774,0.0014,0.0004,0.0093
37025,37025,20150410,IND,MDV,"IND_MDV_37025_201504",3.162835,73.495234,3.172699,73.484171,0.1793,0.7854,0.0044,0.0037,0.0272
37026,37026,20150410,IND,MDV,"IND_MDV_37026_201504",3.22414,73.428517,3.225404,73.437149,0.2643,0.4076,0.0037,0.0015,0.3229
37027,37027,20150411,IND,MDV,"IND_MDV_37027_201504",3.30996,73.469457,3.315335,73.460148,0.2029,0.7483,0.0269,0.0014,0.0207
37028,37028,20150411,IND,MDV,"IND_MDV_37028_201504",3.3709,73.411964,3.381222,73.404009,0.1106,0.8648,0.0094,0.0005,0.0145
37029,37029,20150412,IND,MDV,"IND_MDV_37029_201504",3.435221,73.422129,3.432288,73.418071,0.2789,0.6273,0.0005,0.0068,0.0865
37030,37030,20150412,IND,MDV,"IND_MDV_37030_201504",3.5383,73.520257,3.524524,73.525198,0.5311,0.4499,0.0167,0.0005,0.0016
37031,37031,20150413,IND,MDV,"IND_MDV_37031_201504",3.625186,73.508954,3.639015,73.509629,0.149,0.7792,0.0027,0.002,0.067
37032,37032,20150413,IND,MDV,"IND_MDV_37032_201504",3.682587,73.40921,3.683111,73.420619,0.1023,0.8665,0.0031,0.0024,0.0256
37033,37033,20150414,IND,MDV,"IND_MDV_37033_201504",3.830727,73.369932,3.844964,73.366134,0.2408,0.7401,0.0034,0.0004,0.0153
37034,37034,20150414,IND,MDV,"IND_MDV_37034_201504",3.905717,73.351162,3.899812,73.356924,0.1552,0.7393,0.0022,0.0019,0.1017
37035,37035,20150415,IND,MDV,"IND_MDV_37035_201504",3.945506,73.499934,3.928472,73.495665,0.0706,0.8876,0.0016,0.0009,0.0394
37036,37036,20150415,IND,MDV,"IND_MDV_37036_201504",3.9400107,73.49790992,3.92709028,73.49629601,0.3776,0.611,0.0057,0.0002,0.0052
37037,37037,20150416,IND,MDV,"IND_MDV_37037_201504",4.118635,73.467952,4.117781,73.483373,0.1386,0.7541,0.0052,0,0.1018
37038,37038,20150416,IND,MDV,"IND_MDV_37038_201504",4.313382,73.503184,4.307416,73.499098,0.0786,0.7688,0.0012,0.0046,0.1467
37039,37039,20150417,IND,MDV,"IND_MDV_37039_201504",4.26913,73.488469,4.266534,73.490407,0.1279,0.7906,0.0024,0.0047,0.0744
38001,38001,20150812,PAC,USA,"PAC_USA_38001_201508",21.258847,-157.704996,21.261256,-157.714426,0.0579,0.8707,NULL,0.0081,0.0634
38002,38002,20150812,PAC,USA,"PAC_USA_38002_201508",21.272233,-157.730789,21.27028,-157.74459,0.0307,0.6012,NULL,0.0049,0.3633
38004,38004,20150817,PAC,USA,"PAC_USA_38004_201508",19.724037,-156.059844,19.715094,-156.052371,0.3222,0.66,NULL,0.0083,0.0095
